中医症状 状态要素 标签数
腹胀,咳嗽,发热,干呕 少腹,肺,表,寒,饮 5
腹胀,发热,小便自利 血瘀,热,少腹 3
干呕,汗出,发热 胃,外风,热,表 4
干呕,发热,咳嗽 胃,肺,表,热,饮 5
干呕,心下痞,胁下痛 外风,寒,表,饮,胸膈,胃 6
干呕,腹胀,心烦,泄泻,肠鸣 胃,气虚,气逆,湿,热 5
干呕,泄泻,面红,手足冷,脉微 胃,肠,肾,阳虚,阳浮 5
干呕,手足冷,昏昏沉沉 脾,胃,肾,阳虚,气逆 5
干呕,头痛,吐涎沫 肝,寒,胃,气逆 4
干呕,口苦,咽干,胸胁满 半表半里,胆,胃,热,气滞 5
呕吐,腹痛,身热 胃,热,脾,肠,寒 5
呕吐,泄泻 气逆,胃,肠 3
食后呕吐,舌淡,苔白,脉弱 胃,胸膈,热,阳虚,气逆 5
食后呕吐,呃逆,口渴 脾,胃,阳虚,湿 4
食后呕吐,有气上冲心胸,腹痛,身热,饥不欲食 热,肝,胃,胸膈 4
食后呕吐,心烦,手足冷,脉微 胃,气虚,阳虚,虫积,胸膈 5
食后呕吐,身热,苔黄 脾,阳虚,气虚,气陷,胃,热,气逆 7
食后呕吐,有气上冲心胸 痰,食积,胸膈,脾,胃 5
呕吐,手足冷,泄泻,汗出,脉紧 胃,心,肾,肠,阳浮 5
呕吐,泄泻,手足热 胃,心,肾,肠,亡阳 5
呕吐,泄泻,心烦,手足冷 胃,心,肾,肠,阳虚 5
呕吐,泄泻,手足冷,心烦,昏昏沉沉 寒,胃,肠,心神,阳郁 5
呕吐,泄泻,发热,身痛,恶寒 气逆,胃,肠,热,寒 5
泄泻,口苦,咽干,目眩 胆,热,肠,胃 4
泄泻,便血,口渴,脉浮涩 湿,热,肠,肝 4
泄泻,谵语,大便干 肠,津亏,燥屎,热 4
泄泻,腹痛,手足冷 肠,肝,气滞,寒 4
泄泻,腹痛,小便不利,大便脓血 肠,脾,膀胱,阳虚,气虚,动血 6
泄泻,汗出,手足冷 肠,脾,肾,亡阳,阳浮 5
泄泻,面红,脉微 肠,脾,肾,阳虚,阳浮 5
泄泻,心烦,咽痛,胸满,手足热 肠,肾,阴虚 3
泄泻,咳嗽,干呕,口渴,心烦,小便不利 肠,肾,阴虚,膀胱,湿,热 6
泄泻,身痛,手足冷,脉微 肠,肾,阳虚 3
泄泻,面红,手足冷,脉微 肠,肾,阳虚,阳浮 4
泄泻,汗出,呕吐,脉微 肠,阳虚 2
泄泻,身热,面红,脉沉 肠,肾,阳虚,阳浮 4
泄泻,气喘,汗出,脉促 热,表,肠 3
胃脘痞硬,舌红,苔黄,脉浮 脾,胃,热,气滞 4
胃脘痞硬,汗出,怕冷,苔黄 热,胃,表,阳虚 4
胃脘痞硬,口渴,心烦 饮,膀胱,脾,胃 4
胃脘痞硬,干呕,心烦,肠鸣,泄泻,腹痛 胃,肠,湿,热,气虚,气逆 6
胃脘痞硬,口苦,咽干,目眩 半表半里,胆,胃,热,气滞 5
胃脘痞硬,胁下痛,有气上冲心胸,汗出,心烦 脾,胃,阳虚,气虚,饮 5
胃脘痞硬,嗳气 胃,气虚,痰,饮,气逆 5
胃脘痞硬,泄泻,脉浮 脾,胃,阳虚,气虚,外风,寒,表 7
胃胀,有气上冲心胸,头晕,目眩,脉沉紧,身体颤动 脾,胃,阳虚,饮,气逆 5
胃胀,大便干,口苦,咽干,脉细 半表半里,胆,热,气滞 4
胃胀,手足冷,心烦,饥不欲食 痰,饮,食积,胸膈,胃 5
胃胀,小便不利,发热,无汗 饮,阳郁,脾,胃,膀胱 5
胃胀,恶心,呕吐,泄泻,肠鸣 半表半里,胸膈,饮,热,脾,胃,气虚 7
饥不欲食,头汗出,心烦,手足热 热,胸膈,心神,食积,胃 5
饥不欲食,手足冷,心烦,腹胀 痰,饮,食积,胸膈,胃 5
厌食,手足冷,不欲食,心烦 热,阳郁,气滞,胃,食积,心神 6
厌食,胁下满,身黄,小便不利 脾,胃,食积,阳虚,湿,外风,寒,表,湿 9
厌食,口苦,咽干,目眩 半表半里,胆,食积,热,气滞 5
厌食,手足汗出,小便不利,大便先干后稀 胃,食积,阳虚 3
厌食,汗出,饥不欲食,脉细数 脾,胃,食积,阴虚 4
消谷易食,呕吐,舌红,苔黄,脉数 胃,阳虚 2
消谷易食,发热,不大便,舌暗 血瘀,热,胃,肠 4
手足抽搐,小便不利 热,毒,经络,膀胱 4
身黄,身体枯燥不荣 热,毒,阴虚,津亏 4
身黄,头汗出,小便不利 外风,寒,湿,热,半表半里,胸膈,肝,胆,湿 9
身黄,不欲食,胁下满痛 脾,胃,阳虚,湿,寒 5
身黄,发热,怕冷,身黄 湿,热,外风,寒,半表半里 5
口苦,咽干,目眩 半表半里,胆,热,气滞 4
胁痛,泄泻,脉浮 脾,肠,阳虚,气虚,外风,寒,半表半里 7
胁痛,汗出,头痛,干呕,气短,泄泻 外风,寒,半表半里,饮,胸膈 5
胁下满,身热,怕风,颈项僵硬,口渴 半表半里,胆,热,气滞 4
胁下满,不大便,干呕,舌苔白 半表半里,胆,热,气滞 4
胁下满,口苦,咽干,目眩 半表半里,胆,热,气滞 4
胁下满,发热,汗出,呕吐,泄泻 热,胃,肠,半表半里 4
胸胁满,头汗出,小便不利,口渴,心烦 半表半里,胆,阳郁,气滞,饮,里 6
胸胁满,心烦,干呕,口苦 半表半里,胆,热,气滞 4
胸胁满,手足冷,呕吐,心烦,不欲食 热,阳郁,半表半里 3
小便不利,腹胀,口苦,咽干,目眩 半表半里,膀胱,胆,热,气滞 5
小便不利,潮热,谵语,大便干 热,燥屎,胃,肠,膀胱 5
小便不利,身黄,目黄,小便黄 外风,寒,饮,热,表,胸膈,肝,胆,膀胱,湿 10
小便不利,腹胀,发热,无汗 饮,阳郁,胃,膀胱 4
小便不利,泄泻,腹痛,大便脓血 脾,肾,膀胱,阳虚,气虚,动血 6
小便不利,身热,汗出,口渴,心烦,脉浮 饮,热,燥,津亏,膀胱,胃 6
小便不利,头汗出,胸胁满,口渴,心烦 半表半里,胆,膀胱,阳郁,饮 5
小便不利,发热,口渴,脉浮 热,阴虚,饮,膀胱 4
小便不利,口渴,心烦 饮,脾,胃,膀胱 4
小便不利,骨节疼痛,心烦,不呕,不渴 外风,寒,湿,阳虚,肌肤,膀胱 6
小便不利,骨节疼痛,心烦,汗出,气短 外风,寒,湿,阳虚,关节,膀胱 6
小便不利,手足汗出,不欲食,大便先干后稀 胃,肠,膀胱,阳虚 4
小便不利,身重,身痛,腹痛 肾,膀胱,阳虚,饮,寒 5
小便多,汗出,干呕,心烦,怕冷,腿脚抽搐挛急 膀胱,肾,心神,表,外风,寒,热,燥,津亏,阳虚,阴虚 11
小便多,不大便 热,胃,脾,膀胱,阴虚,津亏,肠,燥屎 8
小便多,大便干,心烦 津亏,燥,热,心神,膀胱 5
小便难,胁下满,身黄 脾,胃,阳虚,湿,外风,寒,膀胱 7
小便难,心烦,头晕,目眩,腹胀,脉迟 寒,脾,胃,膀胱 4
小便难,咳嗽,泄泻,谵语,肌肤浮肿 膀胱,肾,肠,肺,肌肤,阳虚,饮,寒,心神,津亏 10
小便难,汗出,怕风,四肢屈伸不利 膀胱,外风,表,经络,阳虚 5
骨节疼痛,小便不利,心烦,汗出,气短 外风,阳虚,寒,湿,关节,经络 6
骨节疼痛,发热,怕冷,身痛 外风,寒,表,关节 4
骨节疼痛,发热,汗出,小便不利,脉紧 饮,湿,表,关节 4
骨节疼痛,身痛,手足冷,脉沉 心,肾,阳虚,寒,湿,关节 6
项背强硬,汗出,恶风 外风,寒,表,经络 4
项背强硬,无汗,恶风 外风,寒,表,经络 4
项背强硬,汗出,胸痛 痰,热,胸膈 3
耳聋,气喘,心悸 寒,饮,肺,心,肾,阳虚 6
耳聋,胸满,心烦,目红 半表半里,胆,热,气滞 4
怕冷,身体蜷卧,泄泻,手足冷 心,肾,亡阳 3
怕冷,泄泻,脉微 阳虚,津亏 2
怕冷,汗出,发热,四肢屈伸不利,手足冷,呕吐,泄泻 阳虚,胃,肠 3
身体蜷卧,心烦 心,肾,亡阳 3
身体蜷卧,泄泻,怕冷,手足热 心,肾,亡阳 3
身体蜷卧,怕冷,脉弱,心烦 心,肾,亡阳 3
身体蜷卧,泄泻,怕冷,手足冷 心,肾,亡阳 3
手足冷,头痛,干呕 胃,阳虚,饮 3
手足冷,身痛,骨节疼痛,脉沉 心,肾,阳虚,寒,湿 5
手足冷,心烦,泄泻,脉微 亡阳,气脱 2
手足冷,心烦,饥不欲食 痰,食积,胸膈,脾,肾,阳虚,饮 7
手足冷,脉绝 亡阳 1
手足冷,汗出,发热,四肢屈伸不利,呕吐,泄泻 阳虚 1
手足冷,面红,脉微 肾,阳虚,阳浮 3
手足冷,呕吐,泄泻,心烦,怕冷,手足蜷卧 心,肾,亡阳 3
手足冷,脉细欲绝 肝,血虚,寒 3
手足冷,身重,汗出,谵语,语言不利 胃,热,寒 3
手足冷,腹痛,咳嗽,心悸,小便不利,泄泻 寒,阳郁,肝,气滞 4
盗汗,发热,怕冷,口渴 外风,热,表,胸膈,肝,胆,湿 7
盗汗,头汗出,饥不欲食 热,气滞,食积 3
盗汗,发热 热,燥屎,胃,肠,亡阴 5
多汗,脉迟,怕风,怕冷 外风,寒,表,胃,热 5
多汗,口干,咽干 胃,热,燥,津亏 4
发热,怕冷 外风,寒,表 3
汗出,项强 外风,寒,表,经络 4
汗出,身重,昏昏沉沉 胃,热,湿 3
汗出,谵语,潮热 胃,热,燥屎,肠 4
汗出,口干,发热,腹胀,身重 胃,胸膈,热,心神 4
汗出,骨节疼痛,心烦,怕风,气短 阳虚,寒,湿,关节 4
汗出,呕吐,泄泻,脉紧 胃,肠,寒,阳浮 4
汗出,手足冷,四肢屈伸不利,呕吐,泄泻 阳虚,胃,肠 3
手足汗出,大便干,谵语,潮热 胃,热,燥屎,肠 4
手足汗出,不欲食,小便不利,大便先干后稀 胃,肠,阳虚,食积 4
头汗出,谵语,身体枯燥不荣,手足躁扰不宁 热,毒,阴虚,津亏,心神,肌肤 6
头汗出,腹痛拒按 饮,热,燥屎,胃,肠,胸膈 6
头汗出,心烦,小便不利,口渴,不呕 半表半里,胆,阳郁,热 4
头汗出,饥不欲食,心烦,手足热 热,胸膈,食积,心神 4
头汗出,身黄,目黄,小便黄 热,表,胸膈,肝,胆,湿 6
头汗出,手足冷,腹胀,不欲食,大便硬 半表半里,少腹,胃,燥屎,食积 5
口干口燥,脉浮,发热 胃,热,燥,津亏 4
口干口燥,谵语,不大便 热,毒,阴虚,津亏,燥屎 5
口干口燥,口渴饮水不欲咽 胃,肠,血热,津亏 4
口干口燥,口渴,心烦 胃,心神,热,气虚,津亏 5
口渴,口渴饮水不多 热,肝,津亏 3
口渴,身黄,目黄,小便黄 胃,热,肝,胆,湿 5
口渴,口渴饮水量多 胃,热,气虚,津亏 4
口渴,口渴饮水不多,小便不利,发热,脉浮 热,阴虚,饮,膀胱 4
口渴,发热,咳嗽,干呕 表,寒,热,饮,肺,胃 6
口渴,心烦,小便不利 饮,膀胱,脾,胃,心神 5
口渴,头汗出,小便不利,心烦,不呕 半表半里,膀胱,心神,热,阳郁,饮 6
口苦,咽干,目眩 半表半里,胆,咽,热,气滞 5
口苦,口干,发热,汗出,身重 胃,胸膈,热,湿,心神 5
舌燥,腹胀,腹痛,口渴,不大便,潮热 饮,胸膈,热,燥屎,胃,肠 6
舌燥,发热,口渴,怕风,心烦 胃,热,气虚,津亏 4
面部红赤,气短 外风,寒,热,表 4
面部红赤,发热,怕冷 外风,寒,热,表 4
面部红赤,发热,面黄,小便不利 脾,胃,膀胱,湿,热,气虚 6
面部红赤,泄泻,腹痛,手足冷,脉微 肠,少腹,阳虚,阳浮 4
面部红赤,泄泻 肠,阳虚,阳浮 3
目眩,口苦,咽干,心烦 半表半里,胆,热,气滞 4
目眩,心烦,发热,无汗 外风,热,心神,表 4
目眩,耳聋,口苦 半表半里,胆,热,气滞 4
目眩,身重,四肢屈伸不利 毒,湿,肾 3
目眩,大便难,发热 热,燥屎,胃,肠,亡阴 5
潮热,腹胀,腹痛,口渴,舌燥,不大便 饮,胸膈,热,燥屎,胃,肠 6
潮热,头汗出,饥不欲食 热,气滞,食积 3
潮热,汗出,谵语,不大便 热,燥屎,胃,肠,气虚,血虚 6
潮热,谵语,不大便 胃,热,燥屎,肠 4
恶热,身热,汗出 胃,热 2
恶热,口干,腹胀,汗出,身重 胃,胸膈,热,心神 4
发热,口苦,咽干,目眩 半表半里,胸膈,热,脾,胃,气虚,湿 7
发热,不大便 热,燥屎,胃,肠 4
发热,腹满,谵语 热,燥屎,胃,肠,亡阴,心神 6
发热,口干,鼻燥,脉浮 胃,热,燥,津亏 4
发热,口干,腹胀,汗出,身重 胃,胸膈,热,湿 4
发热,多汗 热,燥屎,胃,肠,亡阴 5
发热,手足冷,昏昏沉沉 热,寒,阳郁,心 4
发热,面黄,目黄,身黄,小便黄 脾,胃,湿,热,气虚 5
发热,呕吐,泄泻,手足热 胃,肠,亡阳 3
发热,手足冷,心烦 阳浮,心神 2
发热,泄泻,手足冷 肠,亡阴,亡阳 3
身热,心烦 热,胸膈,心神 3
身热,汗出 胃,热 2
身热,腹痛 寒,饮,少腹,湿,热,肌肤 6
身热,口苦,咽干,目眩 半表半里,胆,热,气滞 4
身热,干呕,脉弱,小便利 肾,胃,阳虚,阳浮 4
身热,泄泻 肠,阳虚,阳浮 3
身体沉重,汗出,昏昏沉沉 表,热,湿 3
身体沉重,心悸,气短 心,气虚,湿 3
身体沉重,口干,发热,汗出,腹胀 胃,胸膈,热,湿,心神 5
身体沉重,目眩,四肢屈伸不利 毒,湿,肾 3
身体活动不能自如,身痛 表,阳虚 2
身体活动不能自如,胸满,心烦,小便不利,谵语,身重 半表半里,膀胱,热,湿 4
身体活动不能自如,腹满,身重 胃,热,湿 3
身痒,无汗,面红,发热,怕冷 外风,寒,热,表,肌肤 5
身痒,无汗 津亏,气虚,热,肌肤 4
头痛,汗出 外风,寒,表 3
头痛,无汗 外风,寒,表 3
头痛,发热,怕冷,口渴 外风,寒,饮,热,表,胸膈,肝,胆,湿 9
头痛,发热,脉弦细 半表半里,胃,热,燥,津亏 5
头痛,小便不利,呕吐 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚 8
头痛,干呕,吐涎沫 肝,寒,胃 3
头痛,手足冷,干呕 胃,阳虚,饮 3
头痛,心下痞,胁下痛 外风,寒,表,饮,胸膈 5
头痛,身痛,发热,口渴 气滞,寒,热,湿 4
头痛,发热,不大便 外风,寒,表,热,燥屎,胃,肠 7
头痛,怕冷,泄泻 外风,寒,表,肠,阳虚 5
头痛,身痛,呕吐,泄泻 外风,寒,表,胃,肠 5
头痛,无汗,小便不利 饮,阳郁,胃,膀胱 4
头痛,发热,胸闷 外风,寒,表,半表半里 4
头痛,发热,无汗,脉沉 热,外风,寒,表 4
气短,脉浮 外风,寒,表,肺 4
气短,胸痛,腹痛,心烦,心胸懊恼 外风,寒,饮,热,表,胸膈,肺,心神,湿 9
气短,胁下痛,干呕 外风,寒,表,饮,胸膈,胃,肺 7
气短,骨节疼痛,心烦,汗出 外风,寒,湿,关节,肺,心神 6
少气,心胸懊恼,起卧不安,身热 热,胸膈,心神,阳虚,肺 5
少气,目眩,身重,四肢屈伸不利 毒,湿,肾,肺 4
头晕目眩,有气上冲心胸,腹胀,脉沉紧,身体颤动 脾,阳虚,饮,气逆 4
头晕目眩,心悸,发热,头晕,目眩,身体颤动 肾,阳虚,饮,寒 4
头晕目眩,泄泻,昏昏沉沉 心,肾,肠,亡阴,亡阳 5
头晕目眩,泄泻 肾,肠,阳虚,阳浮 4
头晕目眩,骨节疼痛,大便干硬,心烦,不呕,不渴 外风,寒,湿,燥屎,心神,关节 6
便脓血,发热,泄泻 热,毒,肠 3
便脓血,腹痛,小便不利,泄泻 脾,肾,膀胱,肠,阳虚,气虚,动血 7
便脓血,胸胁满,手足冷,呕吐,心烦,不欲食 热,寒,胃,心神,食积,阳郁 6
便脓血,身热,小便不利 热,膀胱,经络 3
便脓血,咽喉疼痛 热,毒,咽 3
烦躁,失眠,汗出,发热,不呕,不渴 阳浮,心神 2
烦躁,脉弱 阴虚,阳虚,心神 3
烦躁,口渴 饮,热,燥,津亏,膀胱,胃,心神 7
烦躁,心悸 心神,阳虚 2
烦躁,腹痛 热,燥屎,胃,肠,心神 5
烦躁,胸胁满,呕吐,不欲食 半表半里,胆,热,气滞,心神 5
烦躁,口干,腹胀,汗出,身重 胃,胸膈,热,湿,心神 5
烦躁,脉微,手足冷 阳浮,心神 2
谵语,四肢冷,大便干,脉弱 胃,热,燥屎,寒,心神 5
谵语,心烦,小便不利,胸满,身重 半表半里,膀胱,湿,热 4
谵语,小便不利,呕吐 胃,膀胱,热,燥,津亏,阳亢,阳虚,气虚,心神 9
谵语,不大便,身体枯燥不荣,手足躁扰不宁 热,毒,阴虚,津亏,燥屎,心神,肌肤 7
谵语,腹满,发热 热,燥屎,胃,肠,亡阴,心神 6
谵语,潮热,汗出,大便干 热,燥屎,胃,肠,心神 5
谵语,口干,腹胀,汗出,身重 胃,胸膈,热,湿,心神 5
